PLOT_BID,CROSS_GROUP,BREEDER_CODE,SOURCE,PEDIGREE,ORIGIN,CROSS_NAME,BARCODE,EL,FMATR,LNTH,MIC,SFC,STRN,UNIF,PLOT_BID1,SCW,LINT,FSW,LP,TRUN_OUT,BSW
P00000000879545114997005,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997005,6.9,87,1.161,4.95,6.1,32.4,85.3,P00000000879545114997005,111.9,43.4,64.9,40.07,38.78,53.9
P00000000879545114997006,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997006,,,,,,,,P00000000879545114997006,94.8,34.3,58.3,37.04,36.18,46.9
P00000000879545114997007,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997007,6.6,89,1.119,5.46,7.1,30.4,84.2,P00000000879545114997007,82.7,34.3,47.2,42.09,41.48,39.3
P00000000879545114997008,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997008,6.8,88,1.17,5.3,7,30.1,85.2,P00000000879545114997008,58,25.4,32.2,44.1,43.79,26.3
P00000000879545114997009,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997009,7.4,88,1.177,5.13,6.9,33.9,84.6,P00000000879545114997009,86,33.7,50.7,39.93,39.19,42.2
P00000000879545114997010,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997010,6.8,88,1.239,5.36,6.2,31.2,85.1,P00000000879545114997010,91.6,34.7,55.2,38.6,37.88,45.6
P00000000879545114997011,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997011,7.7,87,1.195,5.18,6.2,33.6,85.1,P00000000879545114997011,81.8,30.8,49.5,38.36,37.65,40.4
P00000000879545114997012,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997012,6.5,87,1.224,4.81,6.5,31.9,85.3,P00000000879545114997012,71.7,28.2,42.1,40.11,39.33,33.2
P00000000879545114997016,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997016,6.6,89,1.205,5.55,6.3,30,85.6,P00000000879545114997016,98.6,38.1,59,39.24,38.64,48.2
P00000000879545114997018,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997018,7.3,87,1.239,4.89,6.2,35.8,85.9,P00000000879545114997018,78.7,29.9,47.7,38.53,37.99,38.2
P00000000879545114997019,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997019,6.9,89,1.227,5.74,6.2,31,85.1,P00000000879545114997019,84.6,30.5,51.9,37.01,36.05,40.4
P00000000879545114997020,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997020,6.5,89,1.176,5.55,6.3,29.2,85.8,P00000000879545114997020,68.3,25.8,40.4,38.97,37.77,33.1
P00000000879545114997021,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997021,6.2,88,1.272,5.24,5.5,29.5,86,P00000000879545114997021,56.2,20.7,34,37.84,36.83,28.2
P00000000879545114997022,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997022,7,88,1.2,5.31,6.3,36.7,85.5,P00000000879545114997022,83.8,33.2,48.6,40.59,39.62,37.8
P00000000879545114997023,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997023,6.8,87,1.143,5.01,7.5,29.1,84.6,P00000000879545114997023,76.9,29.2,44.8,39.46,37.97,36.4
P00000000879545114997024,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997024,7.3,88,1.245,5.36,6.6,32.1,85.2,P00000000879545114997024,52.1,19.5,31,38.61,37.43,22.9
P00000000879545114997028,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997028,,,,,,,,P00000000879545114997028,82.7,32.7,47.7,40.67,39.54,37.5
P00000000879545114997029,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997029,6.8,87,1.231,4.79,6.4,32.2,85.9,P00000000879545114997029,78.1,28.6,47,37.83,36.62,38.3
P00000000879545114997030,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997030,6.3,88,1.165,5.1,6.9,36.1,84,P00000000879545114997030,43.7,16.7,25.7,39.39,38.22,20.4
P00000000879545114997031,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997031,6.8,89,1.241,5.57,5.6,30,86.1,P00000000879545114997031,32.6,12.3,19.3,38.92,37.73,15.1
P00000000879545114997032,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997032,7.4,87,1.207,5.04,6.1,34.4,86.8,P00000000879545114997032,82.2,31.5,48.7,39.28,38.32,40.3
P00000000879545114997034,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997034,6.4,89,1.182,5.55,6.3,29.8,85,P00000000879545114997034,89.9,33,54.8,37.59,36.71,45.1
P00000000879545114997035,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997035,,,,,,,,P00000000879545114997035,18.1,6.1,11.6,34.46,33.7,8.5
P00000000879545114997037,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997037,7.2,87,1.194,4.89,5.6,34.6,85.7,P00000000879545114997037,35.9,13.4,22.1,37.75,37.33,17.6
P00000000879545114997038,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997038,7.1,87,1.16,4.88,5.9,31.6,86.3,P00000000879545114997038,80.6,32.3,47.1,40.68,40.07,37.6
P00000000879545114997039,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997039,7.3,87,1.196,4.89,6.7,37.5,85.4,P00000000879545114997039,82.3,29.2,51.3,36.27,35.48,39.8
P00000000879545114997041,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997041,,,,,,,,P00000000879545114997041,91.8,34.9,54,39.26,38.02,44.1
P00000000879545114997042,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997042,,,,,,,,P00000000879545114997042,7.7,2.2,5.4,28.95,28.57,3.4
P00000000879545114997043,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997043,6.5,89,1.225,5.64,5.9,30.5,85.6,P00000000879545114997043,89.2,32.4,55.4,36.9,36.32,43.8
P00000000879545114997044,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997044,7.2,87,1.211,4.73,7.1,37.4,85.1,P00000000879545114997044,78.5,30,47.3,38.81,38.22,37.4
P00000000879545114997061,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997061,6.8,87,1.162,4.78,6.9,30.4,84.6,P00000000879545114997061,53.8,20.3,32.7,38.3,37.73,27.3
P00000000879545114997062,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997062,,,,,,,,P00000000879545114997062,89.7,34.5,53.6,39.16,38.46,45
P00000000879545114997063,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997063,8.1,87,1.201,5.09,6.7,35.5,85.6,P00000000879545114997063,65.9,26.3,38,40.9,39.91,28.9
P00000000879545114997064,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997064,6.5,88,1.146,5.28,6.7,26.7,85.1,P00000000879545114997064,71.4,29.5,40.9,41.9,41.32,34.2
P00000000879545114997065,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997065,7.1,88,1.141,5.11,6.1,33,85.4,P00000000879545114997065,74.1,30.7,42,42.23,41.43,35.2
P00000000879545114997066,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997066,7.1,88,1.223,5.4,5.9,34.7,86,P00000000879545114997066,80.1,30.3,49,38.21,37.83,39.4
P00000000879545114997067,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997067,6.9,86,1.201,4.5,5.3,35.2,86.2,P00000000879545114997067,31.4,11.3,19.2,37.05,35.99,15.1
P00000000879545114997068,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997068,6.9,88,1.202,5.35,5.9,32.3,85.7,P00000000879545114997068,103.7,36.4,64.3,36.15,35.1,52.7
P00000000879545114997070,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997070,7.1,89,1.237,5.55,6,34.1,86.2,P00000000879545114997070,99.6,41.3,56.7,42.14,41.47,44.2
P00000000879545114997071,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997071,,,,,,,,P00000000879545114997071,86.4,33.2,51.4,39.24,38.43,41.9
P00000000879545114997072,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997072,8.6,88,1.165,5.69,6.7,36.1,85.4,P00000000879545114997072,98.6,39.1,58.1,40.23,39.66,46.7
P00000000879545114997073,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997073,7.6,87,1.164,4.79,7.2,33.7,84.6,P00000000879545114997073,106.1,38.6,66.4,36.76,36.38,52.9
P00000000879545114997074,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997074,7.9,86,1.218,4.83,5.8,31.3,85.6,P00000000879545114997074,95,37.2,57.1,39.45,39.16,46.5
P00000000879545114997075,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997075,6.6,88,1.158,5.2,6.8,32.3,85.1,P00000000879545114997075,100.4,37.5,61.3,37.96,37.35,50.6
P00000000879545114997076,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997076,6.6,88,1.245,5.28,5.8,34.1,86.1,P00000000879545114997076,110.9,40.9,68,37.56,36.88,53
P00000000879545114997077,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997077,7.2,87,1.198,4.76,6.4,34.7,86,P00000000879545114997077,107.3,38.4,67,36.43,35.79,55.3
P00000000879545114997078,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997078,8.1,87,1.179,5.22,6.8,36.2,85.4,P00000000879545114997078,63.6,25.3,37.4,40.35,39.78,29
P00000000879545114997079,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997079,7.2,88,1.129,5.4,7,31.8,84.4,P00000000879545114997079,70.6,29.4,40.4,42.12,41.64,34.1
P00000000879545114997081,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997081,,,,,,,,P00000000879545114997081,89.1,34.9,52.7,39.84,39.17,42.5
P00000000879545114997082,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997082,6.9,89,1.213,5.48,5.5,32.5,87.5,P00000000879545114997082,34.1,11.4,22.1,34.03,33.43,17.9
P00000000879545114997083,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997083,6.8,88,1.174,4.97,6.2,35.4,86.6,P00000000879545114997083,118.7,41.9,75.2,35.78,35.3,58.2
P00000000879545114997084,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997084,6.3,88,1.186,4.89,6.2,34,85,P00000000879545114997084,64.5,25.3,38.4,39.72,39.22,31.8
P00000000879545114997085,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997085,6.2,87,1.198,4.56,5.9,34.3,86.5,P00000000879545114997085,104,39.4,60.7,39.36,37.88,48.5
P00000000879545114997086,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997086,6.7,87,1.172,4.83,5.9,31.5,85.7,P00000000879545114997086,131.1,52.2,78,40.09,39.82,63.8
P00000000879545114997088,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997088,8.1,86,1.191,4.68,6.2,35.2,86.2,P00000000879545114997088,109.8,40,67.8,37.11,36.43,54.3
P00000000879545114997089,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997089,7.7,87,1.207,5.03,7,33.7,84.7,P00000000879545114997089,126.1,49.6,74.7,39.9,39.33,62
P00000000879545114997090,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997090,6.6,87,1.242,4.73,6,31,85.8,P00000000879545114997090,34.4,13.3,20.6,39.23,38.66,15.9
P00000000879545114997091,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997091,7,89,1.344,5.52,4.4,31.5,86.9,P00000000879545114997091,113.4,38.7,72.8,34.71,34.13,60.4
P00000000879545114997092,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997092,6.2,89,1.211,5.33,6.2,32.4,85.3,P00000000879545114997092,62.1,22.5,38.6,36.82,36.23,32.3
P00000000879545114997093,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997093,7.7,88,1.215,5.52,5.5,33.2,86.3,P00000000879545114997093,41.5,16.7,23.9,41.13,40.24,18.6
P00000000879545114997094,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997094,6.8,88,1.22,5.07,6.1,35.8,86.1,P00000000879545114997094,89.7,34.2,52.4,39.49,38.13,42.4
P00000000879545114997095,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997095,,,,,,,,P00000000879545114997095,119.9,45.6,71.8,38.84,38.03,58.9
P00000000879545114997096,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997096,6.9,87,1.199,4.59,6.4,33.2,86.1,P00000000879545114997096,36.3,13,22.4,36.72,35.81,17.5
P00000000879545114997097,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997097,,,,,,,,P00000000879545114997097,95.4,36.6,57.1,39.06,38.36,46.1
P00000000879545114997098,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997098,6.3,89,1.183,5.47,6.3,30.8,85.4,P00000000879545114997098,67.1,25.7,39.5,39.42,38.3,32.8
P00000000879545114997099,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997099,7.4,89,1.159,5.66,6.5,32.4,85.2,P00000000879545114997099,108,43.3,61.8,41.2,40.09,51.4
P00000000879545114997100,G13N011,G,14 04 EY CG GCBAGH-PELON_00006_00017_1_@_$,EY_09X106/08Y499:0002.@$@$,09X106/08Y499,G13N011,P00000000879545114997100,6.4,88,1.212,4.9,6.6,33.8,85.1,P00000000879545114997100,71.2,24.1,45.1,34.83,33.85,35.1
